expression,reading,meaning,tags,guid
様,さま,狀態;方式（一個人做某事）；先生或太太。,JLPT_1 JLPT Intermediate_Japanese Intermediate_Japanese_Ln.11,lj0_)hI7Ez
寒気,さむけ,寒冷，發抖，冷,JLPT_1 JLPT,N#;$qw^KPE
侍,さむらい,武士,JLPT_1 JLPT Intermediate_Japanese_Ln.7 Intermediate_Japanese,g}?p(/xug4
さも,さも,充滿樂趣，滿意,JLPT_1 JLPT,Gm-[^5Ln&h
作用,さよう,操作，效果，功能,JLPT_1 JLPT,"Oof8u=,|uS"
さらう (こどもを～),さらう (こどもを～),綁架,JLPT_1 JLPT,B@RtBWjh/W
障る,さわる,阻礙，干擾，影響,JLPT_1 JLPT,Di(J(kaH;V
酸,さん,酸,JLPT_1 JLPT,k/LaLYL|r#
山岳,さんがく,山,JLPT_1 JLPT,nJs0S#DzgO
参議院,さんぎいん,議員眾議院,JLPT_1 JLPT,O7n.x?;S]&
産休,さんきゅう,產假,JLPT_1 JLPT,k`Pzt}i$UW
サンキュー,サンキュー,謝謝,JLPT_1 JLPT,rQ2myGNLp<
残金,ざんきん,剩下的錢,JLPT_1 JLPT,E</lr>b527
産後,さんご,產後，分娩後,JLPT_1 JLPT,"Pge/h!,u.x"
残酷,ざんこく,殘酷，苛刻,JLPT_1 JLPT,snLE.]5(UV
産出,さんしゅつ,產量，生產,JLPT_1 JLPT,AItAE0vKn;
参照,さんしょう,參考，諮詢，諮詢,JLPT_1 JLPT,Q=29PP)W-_
参上,さんじょう,打電話，來訪,JLPT_1 JLPT,w#SP~u0yM;
残高,ざんだか,（銀行）餘額，其餘部分,JLPT_1 JLPT,K4gXaj[Vyi
サンタクロース,サンタクロース,聖誕老人,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,f/QC`5/{Un
桟橋,さんばし,碼頭，碼頭，碼頭,JLPT_1 JLPT,qY2!_v~;bZ
賛美,さんび,讚美，崇拜，榮耀,JLPT_1 JLPT,e.-RuHb{48
山腹,さんぷく,山坡，山坡,JLPT_1 JLPT,o2ZZ0`v<eS
産婦人科,さんふじんか,產婦和婦科部門,JLPT_1 JLPT,C-(.5yIOQP
産物,さんぶつ,產品，結果，水果,JLPT_1 JLPT,E~s#%JNaV$
山脈,さんみゃく,山脈,JLPT_1 JLPT,x1O?:5^y|C
仕上がり,しあがり,完成，結束，完成,JLPT_1 JLPT,yea;?+baU4
仕上,しあげ,結束，完成觸摸,JLPT_1 JLPT,oEx[)E@iYE
仕上げる,しあげる,完成，完成,JLPT_1 JLPT,hK4h`Zw:aS
飼育,しいく,繁殖，飼養，飼養,JLPT_1 JLPT,e5/Z)LI]cr
強いて,しいて,敢於堅持,JLPT_1 JLPT,Bomwd0N#[6
シート,シート,座位;床單,JLPT_1 JLPT,u]dm-2Z@p[
ジーパン,ジーパン,牛仔褲,JLPT_1 JLPT,HXr(ew@{F#
仕入れる,しいれる,存貨，補充庫存，採購,JLPT_1 JLPT,IFIIG{$W)<
強いる,しいる,強迫，強迫，脅迫,JLPT_1 JLPT,mim3NgV!o^
潮,しお,潮,JLPT_1 JLPT,bk[V+Gm9:@
歯科,しか,牙科,JLPT_1 JLPT,OAZ`Wrx_o9
自我,じが,自我，自我,JLPT_1 JLPT,b-m;dw=d{Y
自覚,じかく,自我意識,JLPT_1 JLPT,i/]v!LT[`[
仕掛,しかけ,設備，技巧，機制,JLPT_1 JLPT,Jsems8J4`^
仕掛ける,しかける,鋪設，設置，工資,JLPT_1 JLPT,Ac40<_hm$3
しかしながら,しかしながら,但是，儘管如此,JLPT_1 JLPT,Hq^C6[L3R8
色彩,しきさい,顏色,JLPT_1 JLPT,G$Z8Bsx{4U
式場,しきじょう,禮儀大廳，儀式的地方（例如婚姻）,JLPT_1 JLPT,rHP.1FI!Xg
しきたり,しきたり,習俗，傳統實踐，傳統,JLPT_1 JLPT,sw_]y<P?Kn
事業,じぎょう,項目，企業，業務,JLPT_1 JLPT,A#sQ/bEEtj
軽蔑,けいべつ,輕蔑，不屑一顧,JLPT_1 JLPT,"lOS,!wvUe["
経歴,けいれき,個人歷史，職業,JLPT_1 JLPT,D*n(@DRyq`
経路,けいろ,課程，路線，頻道,JLPT_1 JLPT,AQ(D;C-S!0
けがらわしい,けがらわしい,骯髒，不公平,JLPT_1 JLPT,lJNQ&9#g@p
劇団,げきだん,戲劇公司劇團,JLPT_1 JLPT,%y17:4{hj
激励,げきれい,鼓勵,JLPT_1 JLPT,C6/gh1N08I
ゲスト,ゲスト,客人,JLPT_1 JLPT,lW>d7fCUoL
獣,けだもの,野獸，野蠻,JLPT_1 JLPT,"o.IW_<j!,1"
決,けつ,決定，投票,JLPT_1 JLPT,h7W;[eV_6*
決意,けつい,決策，決心,JLPT_1 JLPT,Gg{:k%<AT6
結核,けっかく,結核,JLPT_1 JLPT,dB99/5N;ta
決議,けつぎ,決議，投票，決定,JLPT_1 JLPT,tcKhTpRM%o
結合,けつごう,聯合，聯合,JLPT_1 JLPT,Q*@FzK(@81
決算,けっさん,資產負債表，帳戶結算,JLPT_1 JLPT,z2iqWC-nB~
月謝,げっしゃ,每月學費,JLPT_1 JLPT,t[*0i:*.#i
決勝,けっしょう,決賽（運動）,JLPT_1 JLPT,NFjb:+3q7*
結晶,けっしょう,晶體，結晶,JLPT_1 JLPT,x*(Q^EE$u3
結成,けっせい,形成,JLPT_1 JLPT,c_%F>ZhYyr
結束,けっそく,聯盟，團結,JLPT_1 JLPT,JdP5@BTWkb
げっそり,げっそり,感到沮喪，減肥,JLPT_1 JLPT,EtlnVvKbZd
決断,けつだん,決策，決心,JLPT_1 JLPT,w;j;5-!>6(
月賦,げっぷ,每月分期付款,JLPT_1 JLPT,I{X4ZTn7X9
欠乏,けつぼう,短缺,JLPT_1 JLPT,x8kzLzQh~#
蹴飛ばす,けとばす,踢開，踢（某人）,JLPT_1 JLPT,b5){X3eg^W
けなす,けなす,虐待,JLPT_1 JLPT,BA]o8V-nRc
煙たい,けむたい,煙熏，感到尷尬,JLPT_1 JLPT,M_8T~aeKk.
煙る,けむる,吸煙（例如，火）,JLPT_1 JLPT,"O+^L$,-au7"
獣,けもの,野獸，野蠻,JLPT_1 JLPT,q-7J3|/7Vg
家来,けらい,保留者，鼠尾草，僕人,JLPT_1 JLPT,n|b=[)XZ>2
下痢,げり,腹瀉,JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese,D94n#KX+u`
権威,けんい,權威，權力，影響力,JLPT_1 JLPT,lZZG^l>c$z
兼業,けんぎょう,同時擔任兩份工作,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,x9DFE@YYzp
原形,げんけい,原始形式，基本形式,JLPT_1 JLPT,"y2|y)U#`,-"
原型,げんけい,原型，模型，原型,JLPT_1 JLPT,"d5x_w+I&U,"
権限,けんげん,權力，權威，管轄權,JLPT_1 JLPT,wsBe&qWS]u
現行,げんこう,現在，目前正在運行,JLPT_1 JLPT,cB#>jxDt}]
健在,けんざい,身體健康，很好,JLPT_1 JLPT,K?xI8~wHA>
原作,げんさく,原作,JLPT_1 JLPT,"K<e+,WSWtr"
検事,けんじ,檢察官,JLPT_1 JLPT,H[xn?@;-+x
原子,げんし,原子,JLPT_1 JLPT,"b[T}G,9]G?"
元首,げんしゅ,統治者，主權,JLPT_1 JLPT,cJ-$.|^5r+
原書,げんしょ,原始文件,JLPT_1 JLPT,wBia;+PSDE
懸賞,けんしょう,提供獎品，獲勝，獎勵,JLPT_1 JLPT,B7|NMN9B[B
健全,けんぜん,健康，健全，健康,JLPT_1 JLPT,u-bm~%/EH(
元素,げんそ,元素,JLPT_1 JLPT,B2tvGhK[&9
同調,どうちょう,同情，同意，一致,JLPT_1 JLPT,n#0+>4}sN5
到底,とうてい,（不能）可能,JLPT_1 JLPT,C.#O<.PWZ+
動的,どうてき,動態，動力學,JLPT_1 JLPT,k^9j&Q>>|N
尊い,とうとい,珍貴，有價值，高貴,JLPT_1 JLPT,o/:X}@s/ud
貴い,とうとい,珍貴，有價值，高貴,JLPT_1 JLPT,uE?!53}hB@
同等,どうとう,平等，等級相同,JLPT_1 JLPT,sS(wNIrQN<
堂々,どうどう,宏偉，宏偉，令人印象深刻,JLPT_1 JLPT,O@p/U*&n{h
尊ぶ,とうとぶ,重視，獎勵，尊重,JLPT_1 JLPT,NH2!B2Yh2E
どうにか,どうにか,以某種方式，一種或另一種方式,JLPT_1 JLPT,l_xfmqX[ub
投入,とうにゅう,投擲，投資，製造（電路）,JLPT_1 JLPT,mwsjMMb<d>
導入,どうにゅう,引入，引進，引入,JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese,m1+j$HqcF;
当人,とうにん,一個人，所說的人,JLPT_1 JLPT,l]4=/bCF3a
同封,どうふう,外殼（例如，在字母中）,JLPT_1 JLPT,hnY+6g21h_
逃亡,とうぼう,逃脫,JLPT_1 JLPT,qqqC#4{p[V
冬眠,とうみん,休眠，冬季睡眠,JLPT_1 JLPT,"B+T>Lb-B&,"
同盟,どうめい,聯盟，聯盟，聯盟,JLPT_1 JLPT,oBig^AFvC5
どうやら,どうやら,看起來，某種程度上或其他,JLPT_1 JLPT,LZH$.!k~sm
動力,どうりょく,力量，動力，動態力量,JLPT_1 JLPT,gcbdGzw%jw
登録,とうろく,註冊，註冊，記錄,JLPT_1 JLPT,w(]v<(of^0
討論,とうろん,討論;辯論,JLPT_1 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese,ft/}AOp*ZE
遠ざかる,とおざかる,走很遠,JLPT_1 JLPT,nANBsXm^[4
遠回り,とおまわり,彎路，迴旋處的方式,JLPT_1 JLPT,u;(Y+10j3P
トーン,トーン,語氣,JLPT_1 JLPT,O1)Y~lZnk@
とかく,とかく,無論如何，無論如何，無論如何,JLPT_1 JLPT,Jhr>yBj`X[
とがめる,とがめる,責備，斥責,JLPT_1 JLPT,tCyhd<KEBb
時折,ときおり,有時,JLPT_1 JLPT,cBC8l)@|Bd
とぎれる,とぎれる,暫停，被打斷,JLPT_1 JLPT,M`gmYE]A0;
研ぐ,とぐ,銳化，研磨，拋光,JLPT_1 JLPT,lUJgFysD==
特技,とくぎ,特殊人才；技能,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,"iyF,MXDXX4"
独裁,どくさい,專政，專制主義,JLPT_1 JLPT,"c+G[A,i*M0"
特産,とくさん,專業，特殊產品,JLPT_1 JLPT,Cyr8}5s:<j
独自,どくじ,原始，奇特，特徵,JLPT_1 JLPT,iCBdeKS#GI
特集,とくしゅう,功能（例如報紙，特別版，報告）,JLPT_1 JLPT,wi!>SN]gEF
独占,どくせん,壟斷,JLPT_1 JLPT,j~8Pw]-mt@
独創,どくそう,獨創性,JLPT_1 JLPT,gXnxl+EiHr
得点,とくてん,得分，得分,JLPT_1 JLPT,"u`t,J1?=>5"
