expression,reading,meaning,tags,guid
～領,～りょう,領土,JLPT JLPT_2,MXZX<Kqb>
～力,～りょく,〜的力量,JLPT JLPT_2,G<sBHiz^]!
～論,～ろん,理論,JLPT JLPT_2,"ec<,e&v$V7"
～羽,～わ,兔子的櫃檯；鳥類,JLPT JLPT_2,FQL)TF/a}O
相変わらず,あいかわらず,像往常一樣，像往常一樣，和以前一樣，仍然,JLPT JLPT_2,B>ep8MopYw
アイデア; アイディア,アイデア; アイディア,主意,JLPT JLPT_2,NkL-h!TKp$
あいまい,あいまい,模糊，模棱兩可,JLPT JLPT_2,"y8aZ,my]%p"
扇ぐ,あおぐ,粉絲，拍打,JLPT JLPT_2,Gk2+[0&j}c
青白い,あおじろい,蒼白,JLPT JLPT_2,B[(dutQ)|%
呆れる,あきれる,感到震驚，感到震驚,JLPT JLPT_2,o8s#rYeo4>
アクセント,アクセント,口音,JLPT JLPT_2,"w=+|,GhTIn"
あくび,あくび,打哈欠,JLPT JLPT_2,v|~6.5@[n^
飽くまで,あくまで,到最後，最後，固執,JLPT JLPT_2,"vD,5@+@_q]"
明くる～,あくる～,接下來，以下內容,JLPT JLPT_2,c0UJ5Dk9?v
明け方,あけがた,黎明,JLPT JLPT_2,pi=5b}Xk:R
憧れる,あこがれる,渴望，渴望,JLPT JLPT_2,c:=`W|}Gw`
朝寝坊,あさねぼう,過度呼吸，後期升起,JLPT JLPT_2,kR|>&(p6rG
足跡,あしあと,腳印,JLPT JLPT_2,lj:ebvgd-q
足元,あしもと,在腳下,JLPT JLPT_2,Ha)Qe[babj
味わう,あじわう,品嚐，品嚐,JLPT JLPT_2,uxSo4jtf~d
預かる,あずかる,保持拘留，收到存款，負責,JLPT JLPT_2,LJpv~D13xj
温まる,あたたまる,溫暖,JLPT JLPT_2,B5XhWyF.q9
当たり前,あたりまえ,自然，合理，明顯，通常，常見，普通，普通，常態,JLPT JLPT_2,b#?!|FvT)4
あちらこちら,あちらこちら,這里和那裡,JLPT JLPT_2,Q~Ip4wR{af
厚かましい,あつかましい,無恥，無恥，,JLPT JLPT_2,"wZ0,_rCNQo"
圧縮,あっしゅく,壓縮，凝結，壓力,JLPT JLPT_2,G:WAF/Dx1i
宛名,あてな,地址，方向,JLPT JLPT_2,"Q!,(6>`cO,"
当てはまる,あてはまる,適用，屬於（類別）,JLPT JLPT_2,gWVd1Z[tfA
当てはめる,あてはめる,申請，適應,JLPT JLPT_2,OP(Hu}mMQq
暴れる,あばれる,猛烈行動，憤怒,JLPT JLPT_2,L6trU>v^!
脂,あぶら,脂肪，牛脂，豬油,JLPT JLPT_2,t@*Ov{e4RP
あぶる,あぶる,要燒焦，烤,JLPT JLPT_2,Jz@lzbGk7x
あふれる,あふれる,洪水氾濫,JLPT JLPT_2,be7:(ploED
雨戸,あまど,滑動的風暴門,JLPT JLPT_2,v+crs*_nva
甘やかす,あまやかす,寵愛，破壞,JLPT JLPT_2,f~Uvnb+KP=
余る,あまる,剩下的,JLPT JLPT_2,r`ob2WL<}I
編み物,あみもの,針織,JLPT JLPT_2,KBOilYWmo2
あみもの,あみもの,編織，網絡,JLPT JLPT_2,"wR7~d.J/,$"
編む,あむ,要編織,Genki Genki_Ln.13 JLPT JLPT_2,"Bcd5,b]]w5"
危うい,あやうい,危險，批評,JLPT JLPT_2,JYnP1Z3O1n
怪しい,あやしい,可疑，可疑，懷疑,JLPT JLPT_2,r?rB[7EP>5
荒い,あらい,粗糙，粗魯，狂野,JLPT JLPT_2,P5h|CxAaCE
粗い,あらい,粗糙，粗糙,JLPT JLPT_2,t~Hs$2O?FD
粗筋,あらすじ,大綱，概要,JLPT JLPT_2,GLP0^5#h&@
争う,あらそう,競爭，競爭，競爭爭吵，爭論，爭議，處於差異，反對,JLPT JLPT_2,eC6vp6J:;c
改めて,あらためて,再一次,JLPT JLPT_2,M$)j_R%uiN
改める,あらためる,改變，改革，修改,JLPT JLPT_2,k-ggJ#W2U)
あらわす,あらわす,寫，發布,JLPT JLPT_2,jfH_)2c|9s
有難い,ありがたい,感謝，感恩，感謝,JLPT JLPT_2,yLS%JRr`~I
あれこれ,あれこれ,一件事或另一件事,JLPT JLPT_2,H3{e@Ms<u9
荒れる,あれる,暴風雨，粗糙，被毀了,JLPT JLPT_2,opLT~#LruK
慌ただしい,あわただしい,忙碌，匆匆忙忙,JLPT JLPT_2,"d*5}[C^,EG"
慌てる,あわてる,變得困惑（令人不安，混亂），被慌張，慌張，匆忙，急於,JLPT JLPT_2,RdWuu8/jDE
安易,あんい,隨和,JLPT JLPT_2,cpsk;f2&m/
案外,あんがい,出乎意料的是,JLPT JLPT_2,"E-`?,aYenW"
アンテナ,アンテナ,天線,JLPT JLPT_2,u25h^5*Vx<
言い出す,いいだす,開始交談，建議,JLPT JLPT_2,ma-oStit-!
言い付ける,いいつける,告訴，訂購,JLPT JLPT_2,K=!C~7x9Db
意義,いぎ,含義，意義,JLPT JLPT_2,K*wt2r`%<B
生き生き,いきいき,生動地，活潑,JLPT JLPT_2,Am|5$tSksY
いきなり,いきなり,一下子,Intermediate_Japanese Intermediate_Japanese_Ln.13 JLPT JLPT_2,J=<-XB_N-t
幾～,いく～,幾個〜,JLPT JLPT_2,o<XZoP)ZFl
育児,いくじ,育兒，護理,Intermediate_Japanese Intermediate_Japanese_Ln.14 JLPT JLPT_2,hwmLlQK_:7
幾分,いくぶん,有些,JLPT JLPT_2,wUiE3U*>P6
生け花,いけばな,插花,JLPT JLPT_2,o!9H~`j>Ob
以後,いご,之後；今後;此後,JLPT JLPT_2 Intermediate_Japanese_Ln.8 Intermediate_Japanese,"OpKq9d,k&%"
イコール,イコール,平等的,JLPT JLPT_2,F:$jr>Gcvz
以降,いこう,在此後和之後,JLPT JLPT_2,"hI7gX,ojpA"
勇ましい,いさましい,勇敢，英勇,JLPT JLPT_2,jh9$B&!xLP
衣食住,いしょくじゅう,食物，衣服和庇護所,JLPT JLPT_2,yYjE5SKh.|
いちいち,いちいち,一個一個單獨的,JLPT JLPT_2,c`q7>|uO;;
一応,いちおう,暫時，暫時,JLPT JLPT_2,DUm[|ty]2z
一段と,いちだんと,到目前為止，更大,JLPT_2 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese,H2Se/ybI3t
一流,いちりゅう,頭等艙，領導,JLPT JLPT_2,Q-z[xmuvA*
一昨日,いっさくじつ,昨天前一天,JLPT JLPT_2,q)l_a#Mm^@
一昨年,いっさくねん,前一年,JLPT JLPT_2,H3]XYSojiI
一斉,いっせい,同時一次,JLPT JLPT_2,H3C62{9DP`
一旦,いったん,一次，片刻,JLPT JLPT_2,"Fv;m,:R#X("
一定,いってい,固定，定期定期,JLPT JLPT_2,Qx{lB{;UG~
行っていらっしゃい,いっていらっしゃい,祝你有美好的一天，見,JLPT JLPT_2,Q~[>k~aD(O
いってきます,いってきます,（點燃）我會回來，“我要去，稍後再見”,JLPT JLPT_2,O;VZoV$S8W
いってまいります,いってまいります,（點燃）我會回來，“我要去，稍後再見”,JLPT JLPT_2,wg6qf;hcRZ
行ってらっしゃい,いってらっしゃい,祝你有美好的一天，見,JLPT JLPT_2,eL-o)31hPE
移転,いてん,移動，轉移,JLPT JLPT_2,A[fI%[bpSh
井戸,いど,水很好,JLPT JLPT_2,"Fw}ob1+9,G"
緯度,いど,緯度（導航）,JLPT JLPT_2,mKsQtDevFo
威張る,いばる,為了驕傲而招搖,JLPT JLPT_2,kEp;c{E_R1
嫌がる,いやがる,不情願，不喜歡,JLPT JLPT_2,wwKIWtwwb&
いよいよ,いよいよ,越來越多的終於,JLPT JLPT_2,h5$?Ko/s)4
煎る,いる,要烤,JLPT JLPT_2,"bLrppO],[q"
炒る,いる,要烤，烤,JLPT JLPT_2,dcy>(4#yAy
入れ物,いれもの,容器，盒子,JLPT JLPT_2,RbLFeu/vvY
インキ,インキ,墨水,JLPT JLPT_2,I{rR0;+{t|
引力,いんりょく,重力,JLPT JLPT_2,cP:.V7Ysb%
ウーマン,ウーマン,女士,JLPT JLPT_2,"O5m,c!v(H5"
ウール,ウール,羊毛,JLPT JLPT_2,bgePnfbn;n
ウエートレス,ウエートレス,女服務員,JLPT JLPT_2,C$[Z6H5/gO
植木,うえき,花園灌木，樹木，盆栽植物,JLPT JLPT_2,j}3Ny1eUVB
飢える,うえる,挨餓,JLPT JLPT_2,CQMZtp4T24
浮ぶ,うかぶ,漂浮，浮出水面，腦海,JLPT JLPT_2,IN|gezRxCl
浮かべる,うかべる,浮動;表達,JLPT JLPT_2,Nj{^.3q>-V
浮く,うく,浮動,JLPT JLPT_2,JS6e6ewLTQ
承る,うけたまわる,（謙虛）聽到，被告知，知道,JLPT JLPT_2,IKhK:kjp?E
受取,うけとり,收據,JLPT JLPT_2,"k?,%G]kD{4"
受け持つ,うけもつ,負責,JLPT JLPT_2,b1cU__S&E=
薄暗い,うすぐらい,昏暗，陰暗,JLPT JLPT_2,m6<YpAEgo!
薄める,うすめる,稀釋，澆水,JLPT JLPT_2,F/33?d^ON{
打合せ,うちあわせ,商務會議，以前的安排,JLPT JLPT_2,I>LU.f-`NP
打ち消す,うちけす,否認，否定,JLPT JLPT_2,HCI~2sil9S
写る,うつる,被拍照，投影,JLPT JLPT_2,CI<Sr}lwt|
うどん,うどん,烏冬面（日本傳統麵條）,Intermediate_Japanese_Ln.6 JLPT_2 JLPT Intermediate_Japanese,zUsFPVRoV;
うなずく,うなずく,點頭,JLPT JLPT_2,qP>fuv+29W
有無,うむ,存在或不存在，缺席同意或拒絕，是或否,JLPT JLPT_2,zVa=(IGgn=
埋める,うめる,埋葬，填充，填充（座位，空置位置）,JLPT JLPT_2,wtEE639hh4
敬う,うやまう,表示尊重，尊敬,JLPT JLPT_2,hRta^!r1WT
裏返す,うらがえす,轉向內而外，轉（某物）,JLPT JLPT_2,cJR[<yA$vw
裏口,うらぐち,後門，後門,JLPT JLPT_2,xTA1N/QL{`
占う,うらなう,預測，神聖,JLPT JLPT_2,isAnLJU5w0
恨み,うらみ,怨恨,JLPT JLPT_2,"A+B,^3x]O="
恨む,うらむ,詛咒，感到痛苦,JLPT JLPT_2,D@R<vxJ)<U
羨む,うらやむ,嫉妒,JLPT JLPT_2,tthSa[}tg_
売上,うりあげ,出售的金額，收益,JLPT JLPT_2,p9d{%uQSR:
売り上げ,うりあげ,銷售金額，銷售，收益，收入，營業額,JLPT JLPT_2,AV/DH?U*[&
売り切れ,うりきれ,售罄,JLPT JLPT_2,J#x&HGI1=J
売り切れる,うりきれる,被賣光,JLPT JLPT_2,Ls1JX0p>PP
売行き,うれゆき,銷售量,JLPT JLPT_2,t0r)gygLV
売れ行き,うれゆき,銷售，需求,JLPT JLPT_2,lFbE^~5.H1
うろうろ,うろうろ,遊蕩，漫無目的的流浪,JLPT JLPT_2,h0R8Gh3Y^Q
上～,うわ～,上〜,JLPT JLPT_2,IiRGZY[b#L
運河,うんが,運河，水路,JLPT JLPT_2,os15ZQMcmE
うんと,うんと,很多，非常,JLPT JLPT_2,K1|_U:?Zi2
英文,えいぶん,用英語句子,JLPT JLPT_2,N6cGn)]tI&
英和,えいわ,英文 - 日本（例如，詞典）,JLPT JLPT_2,iL]q/<ICwB
ええと,ええと,讓我看看，好吧...,JLPT JLPT_2,k9QoK3_%6*
液体,えきたい,液體，流體,JLPT JLPT_2,CdyMwPZr;-
エチケット,エチケット,禮儀,JLPT JLPT_2,JD<(LA+lT8
絵の具,えのぐ,顏色，油漆,JLPT JLPT_2,il.hIkd5@*
エプロン,エプロン,圍裙,JLPT JLPT_2,iE$K!WaP&V
偉い,えらい,偉大，著名，出色，,JLPT JLPT_2,va_:XsaQZY
宴会,えんかい,聚會，宴會,JLPT JLPT_2,i-sdwsFh$Z
園芸,えんげい,園藝，園藝,JLPT JLPT_2,BqeOt&R7YG
演劇,えんげき,玩（戲劇）,JLPT JLPT_2,"Otg5e*No,p"
円周,えんしゅう,圓周,JLPT JLPT_2,Q#$a9V=}iv
遠足,えんそく,旅行，遠足，野餐,JLPT JLPT_2,K/i>jpon?&
延長,えんちょう,擴展，延長,JLPT JLPT_2,kv5xP;(9Nh
煙突,えんとつ,煙囪,JLPT JLPT_2,vA~$8Qi$g7
オーケストラ,オーケストラ,樂隊,JLPT JLPT_2,E(IY~:+.r]
オートメーション,オートメーション,自動化,JLPT JLPT_2,w$xtVM50Wd
追いかける,おいかける,追逐或追趕某人,JLPT JLPT_2,IwJw]GEFbC
追い越す,おいこす,通過（例如汽車），超越，超越,JLPT JLPT_2,QFqJ-N@k`a
オイル,オイル,油,JLPT JLPT_2,lfd7.m*9JT
応援,おうえん,援助，幫助，幫助，支持，加強加油，生根（用於），支持,JLPT JLPT_2,"db6u7R<V*,"
王女,おうじょ,公主,JLPT JLPT_2,mtg%KXTE/:
応ずる,おうずる,回應，遵守,JLPT JLPT_2,uaD~LH-B3=
応接,おうせつ,接待,JLPT JLPT_2,bEx~ccePEK
応対,おうたい,接收，處理,JLPT JLPT_2,"cy],C~WcL}"
往復,おうふく,（col）往返，來和去，回來票,JLPT JLPT_2,n3GyO1oyI7
欧米,おうべい,歐洲和美國，西方,JLPT_2 JLPT Intermediate_Japanese_Ln.7 Intermediate_Japanese,n1r<]dO&N/
応用,おうよう,應用，用於實際使用,JLPT JLPT_2,KS%06Cn^yw
おおざっぱ,おおざっぱ,粗糙（不精確），寬闊，粗略,JLPT JLPT_2,OHMTu7)N;!
大通り,おおどおり,大街,JLPT JLPT_2,e8NE2/)L:D
大凡,おおよそ,大約,JLPT JLPT_2,"j>e8>g+K{,"
お帰り,おかえり,返回，歡迎,JLPT JLPT_2,J&)&R*:;&e
おかけください,おかけください,請坐下,JLPT JLPT_2,LmStb*}|~b
おかげさまで,おかげさまで,感謝上帝，感謝你,JLPT JLPT_2,E&mEeh`mWM
おかず,おかず,配菜，米飯的伴奏,JLPT JLPT_2,IW;hR&<.DQ
おかまいなく,おかまいなく,請不要對我大驚,JLPT JLPT_2,Bag34Ev^HT
拝む,おがむ,敬拜，祈禱,JLPT JLPT_2,BLY_FNPzlS
お代わり,おかわり,第二個幫助，另一個杯子,JLPT JLPT_2,b}Avsf0g_X
補う,おぎなう,補償,JLPT JLPT_2,F#($cJz>C
お気の毒に,おきのどくに,很抱歉聽到這個...,JLPT JLPT_2,I}O}}43=OW
屋外,おくがい,戶外,JLPT JLPT_2,"b,/pc$HdnI"
送り仮名,おくりがな,用kana寫的一部分,JLPT JLPT_2,L0[6p2c}y;
お元気で,おげんきで,小心',JLPT JLPT_2,P?(I*3(kaT
怠る,おこたる,忽視，失敗,JLPT JLPT_2,hI%Hy&@P79
押さえる,おさえる,固定，壓制，按向下，握住，保持穩定以覆蓋（尤其是用手的身體的一部分），抓緊（疼痛的身體部位），按下（身體部位）以抓住，抓住，抓住，抓住，捕捉，逮捕，逮捕，捕捉,JLPT JLPT_2,"n1S,CEj^b^"
お先に,おさきに,之前，之後,JLPT JLPT_2,O/_cfB(;1v
伯父,おじ,（謙虛）叔叔（比父母大）,JLPT JLPT_2,b<;4u^|F5a
叔父,おじ,叔叔（比父母年輕）,JLPT JLPT_2,b5[<>DjhLo
惜しい,おしい,令人遺憾，令人失望,JLPT JLPT_2,u~)4Hh}G<5
伯父さん,おじさん,（hon。）中年紳士，叔叔,JLPT JLPT_2,oFQ*.$]vx}
小父さん,おじさん,（hon。）中年紳士，叔叔,JLPT JLPT_2,LsGH|S+7Q3
叔父さん,おじさん,（hon。）中年紳士，叔叔,JLPT JLPT_2,"k@Fydl,X2%"
お邪魔します,おじゃまします,對不起，我打擾你,JLPT JLPT_2,LMVMI71T}{
お世話になりました,おせわになりました,我一直在你的照顧,JLPT JLPT_2,s4cBT5H*[h
お大事に,おだいじに,照顧好自己，保重！,JLPT Genki_Ln.12 Intermediate_Japanese JLPT_2 Intermediate_Japanese_Ln.12 Genki,Km@NEq/P(_
落着く,おちつく,冷靜下來，安頓下來,JLPT JLPT_2,u?j1|t;RlK
お出掛け,おでかけ,郊遊,JLPT JLPT_2,"gaqrD^P,Ry"
お手伝いさん,おてつだいさん,女傭,JLPT JLPT_2,iZR<wUzc/1
脅かす,おどかす,威脅，脅迫,JLPT JLPT_2,Q>m)3/qe`#
落し物,おとしもの,失物,JLPT JLPT_2,bMV+Q#2]G~
驚かす,おどろかす,令人驚訝，嚇到,JLPT JLPT_2,DG2lo{usAe
お願いします,おねがいします,請（點亮，我要求）,JLPT JLPT_2 Intermediate_Japanese_Ln.1 Intermediate_Japanese,oy}-GPhVx}
各々,おのおの,每個，既有,JLPT JLPT_2,s;E$Q88Yv[
伯母,おば,（謙虛）姨媽（比父母年齡較大）,JLPT JLPT_2,z:m(P{*wZ?
叔母,おば,姨媽（比父母年輕）,JLPT JLPT_2,Ek4&AJulO*
小母さん,おばさん,女士，女人，女士,JLPT JLPT_2,tO0?[][Q}q
おはよう,おはよう,（abbr。）早上好,JLPT JLPT_2,hzlc9[n5z=
お参り,おまいり,崇拜，神社訪問,JLPT JLPT_2,j2uP1/H2nj
お待たせしました,おまたせしました,抱歉讓您等待,JLPT JLPT_2,tWES^gs*3w
お待ちください,おまちください,請等待片刻,JLPT JLPT_2,A/UH`kBoC-
おまちどおさま,おまちどおさま,抱歉讓您等待,JLPT JLPT_2,kyL%[N^|az
おめでたい,おめでたい,快樂活動，祝賀,JLPT JLPT_2,"eET,n2`P|Z"
思い掛けない,おもいがけない,出乎意料，隨意,JLPT JLPT_2,pxYW;;jVL[
思い切り,おもいきり,憑著一個人的力量（心），辭職，解決方案,JLPT JLPT_2,u6znaLhPyo
思い込む,おもいこむ,給人的印像是要確信,JLPT JLPT_2,ggq%!UTv!w
思いっ切り,おもいっきり,非常，充分,JLPT JLPT_2,"z,O=En=;Mc"
思いっきり,おもいっきり,盡力而為,JLPT JLPT_2,"B,fE|/^X*C"
重たい,おもたい,沉重，巨大，嚴重,JLPT JLPT_2,kxf3li]&Z0
お休み,おやすみ,假期，缺席； （經驗）晚安,JLPT JLPT_2,g*1:u%%pd(
おやつ,おやつ,在零食之間，下午茶點,JLPT JLPT_2,F0Bgt+CKGH
親指,おやゆび,拇指,JLPT JLPT_2,Q]+3Y_+I|o
オルガン,オルガン,器官,JLPT JLPT_2,r4P=wfH}tX
御～,おん～,榮譽〜,JLPT JLPT_2,oiyGIL2u!>
恩恵,おんけい,祝福，利益,JLPT JLPT_2,t6?1>QfZ5F
温室,おんしつ,溫室,JLPT JLPT_2,j@PV(c1<I%
温泉,おんせん,溫泉，溫泉,JLPT Intermediate_Japanese JLPT_2 Genki_Ln.9 Intermediate_Japanese_Ln.10 Genki,p7%rZNufe3
