expression,reading,meaning,tags,guid
したがって,したがって,因此，因此,JLPT JLPT_2 JLPT_3,zE+XZL-yO%
親しい,したしい,親密，親密（例如，朋友）,JLPT JLPT_2 JLPT_3,JLb1]#eUH.
質,しつ,質量，自然（人的自然）,JLPT JLPT_2 JLPT_3,i9bGgE8&)u
失業,しつぎょう,失業,JLPT JLPT_2 JLPT_3,L*e(K1S8y>
湿気,しっけ,水分，濕度，潮濕,JLPT JLPT_2 JLPT_3,mI:_~nX$Y!
実験,じっけん,實驗室工作；實驗,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5,hmPfhao45;
実現,じつげん,實施，實現，實現,JLPT JLPT_2 JLPT_3,fGH.>rJnym
実行,じっこう,練習，執行（例如程序），實現,JLPT JLPT_2 JLPT_3,O_Qp[P4rQP
実際,じっさい,實際上;實際,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,"B6Z:.Y11k,"
実施,じっし,執法，執行，操作,JLPT JLPT_2 JLPT_3,dXLqmB^MiP
湿度,しつど,濕度,JLPT JLPT_2 JLPT_3,lZGX2R~;Bn
じっと,じっと,耐心，安靜地,JLPT JLPT_2 JLPT_3,Nkvz[eNt`n
実に,じつに,確實，確實，肯定是,JLPT JLPT_2 JLPT_3,I|OQWMaQog
実は,じつは,實際上;實際上,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1,s#X::H+4<F
失望,しつぼう,失望，絕望,JLPT JLPT_2 JLPT_3,mi8g|r~Txf
実力,じつりょく,能力;力量,JLPT JLPT_2 JLPT_3,F5g81kES4+
支店,してん,分店（辦公室）,JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki,h*O$^StSa>
指導,しどう,領導，指導，教練,JLPT JLPT_2 JLPT_3,AKsjeKTYcK
自動,じどう,自動，自我運動,JLPT JLPT_2 JLPT_3,O4.zUw/o_S
児童,じどう,孩子，少年,JLPT JLPT_2 JLPT_3,"e,|tEbv]Zq"
品,しな,東西，文章，商品,JLPT JLPT_2 JLPT_3,bDnAvhtlH7
支配,しはい,規則，控制，方向,JLPT JLPT_2 JLPT_3,GJx2Cizi1x
芝居,しばい,戲劇，戲劇,JLPT JLPT_2 JLPT_3,gtSlTkyCFW
しばしば,しばしば,經常一次又一次,JLPT JLPT_2 JLPT_3,oKzAa``eqH
芝生,しばふ,草地,JLPT JLPT_2 JLPT_3,"wbx:,PABM*"
支払,しはらい,支付,JLPT JLPT_2 JLPT_3,Ev?:EQ7Ks`
支払う,しはらう,支付,JLPT JLPT_2 JLPT_3,"ND2,<K].}x"
死亡,しぼう,死亡,JLPT JLPT_2 JLPT_3,zYjIN3r3C
資本,しほん,資金，資本,JLPT JLPT_2 JLPT_3,K]eJp4bmn-
姉妹,しまい,姐妹,JLPT JLPT_2 JLPT_3,D=K+>4{9gs
しまった (かん),しまった (かん),該死的！,JLPT JLPT_2 JLPT_3,lG^NNUo)xn
自慢,じまん,驕傲，誇耀,JLPT JLPT_2 JLPT_3,I/xy:2]J/|
地味,じみ,安靜，簡單，保守,JLPT JLPT_2 JLPT_3,o(yU(Vt?_.
示す,しめす,表明，指示,JLPT JLPT_2 JLPT_3,Jd8*LeirRj
占める,しめる,佔領；要考慮,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,r`M6Y4!/$F
湿る,しめる,要濕，潮濕,JLPT JLPT_2 JLPT_3,uFiSD0nBbH
下,しも,在下面，下方，下方,JLPT JLPT_2 JLPT_3,"NEdu]f-jA,"
霜,しも,霜,JLPT JLPT_2 JLPT_3,r%B(k2*%-2
借金,しゃっきん,債務，貸款，負債,JLPT JLPT_2 JLPT_3,HTrhI~ql4k
しゃべる,しゃべる,說話，聊天，聊天（與話す（はなす）相同）,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,xm(;YK[sEF
週,しゅう,星期,JLPT JLPT_2 JLPT_3,"x+o,UuIX0t"
州,しゅう,州，省,JLPT JLPT_2 JLPT_3,"P_~2Qd-Z,0"
銃,じゅう,槍,JLPT JLPT_2 JLPT_3,g}R=q_AV`]
周囲,しゅうい,周圍環境，周圍環境,JLPT JLPT_2 JLPT_3,k;vO#x`Yq;
収穫,しゅうかく,收穫，農作物，開創性,JLPT JLPT_2 JLPT_3,Q1;gC;3=ME
宗教,しゅうきょう,宗教,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,h2}ja7i^zZ
重視,じゅうし,重要性，壓力,JLPT JLPT_2 JLPT_3,p)R=DLs-/X
就職,しゅうしょく,尋找工作,JLPT JLPT_2 JLPT_3,G#y*V:{2Bq
ジュース,ジュース,果汁，軟飲料； deuce,JLPT Genki_Ln.12 JLPT_3 JLPT_2 Genki,w1Xid7|yfz
修正,しゅうせい,修正案，更正,JLPT JLPT_2 JLPT_3,gUKGu[G9oC
重体,じゅうたい,嚴重生病，關鍵狀態,JLPT JLPT_2 JLPT_3,"F]Ml+g6],&"
渋滞,じゅうたい,擁塞（例如，流量），延遲,JLPT JLPT_2 JLPT_3,f6HLmc1`E?
重大,じゅうだい,認真，重要,JLPT JLPT_2 JLPT_3,bRTiuj?[St
住宅,じゅうたく,居民，住房,JLPT JLPT_2 JLPT_3,"bO,.P:9Wr8"
集団,しゅうだん,集團，彌撒,JLPT JLPT_2 JLPT_3,O[N$vC_)x(
集中,しゅうちゅう,集中精力，集中精力,JLPT JLPT_2 JLPT_3,z{<Xu{#h*c
収入,しゅうにゅう,收入，收入,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,Ow2ez*OE$v
住民,じゅうみん,居民，居民,JLPT JLPT_2 JLPT_3,M3~&[?-]c=
重要,じゅうよう,重要，必不可少,JLPT JLPT_2 JLPT_3,d;5d4|x2m2
修理,しゅうり,修理，修補,JLPT JLPT_2 JLPT_3,i2Z^HI-&!g
主義,しゅぎ,學說，原因，原則,JLPT JLPT_2 JLPT_3,mm(7ICuhH@
宿泊,しゅくはく,住宿,JLPT JLPT_2 JLPT_3,sJf/S8qo)G
手術,しゅじゅつ,手術,JLPT JLPT_2 JLPT_3,O=U-eHfq4I
首相,しゅしょう,總理,JLPT JLPT_2 JLPT_3,"h%Bt%?=g9,"
手段,しゅだん,手段，方式，測量,JLPT JLPT_2 JLPT_3,cG]JN2+6BK
主張,しゅちょう,主張，堅持，主張,JLPT JLPT_2 JLPT_3,PQKr-g-1[?
出場,しゅつじょう,參與,JLPT JLPT_2 JLPT_3,u|Gl.@-_{b
出身,しゅっしん,來自,JLPT JLPT_2 JLPT_3,E~$fFKz?VN
出版,しゅっぱん,出版品,JLPT JLPT_2 JLPT_3,pHGL?y?[mQ
首都,しゅと,首都,JLPT JLPT_2 JLPT_3,"pV,3~,Z87["
主婦,しゅふ,家庭主婦,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.1 Genki,cu7/mz5_+B
主要,しゅよう,酋長，主,JLPT JLPT_2 JLPT_3,e/wz>k>*.!
需要,じゅよう,要求,JLPT JLPT_2 JLPT_3,wIb;!:/d[S
種類,しゅるい,品種，善良,JLPT JLPT_2 JLPT_3,yLzP_}wHk~
順,じゅん,訂單，轉,JLPT JLPT_2 JLPT_3,j(7}!qj-R?
瞬間,しゅんかん,片刻，第二,JLPT JLPT_2 JLPT_3,w74BNqe`C[
順調,じゅんちょう,做得好,JLPT JLPT_2 JLPT_3,QTXqs`sU2C
順番,じゅんばん,轉彎（排隊），順序,JLPT JLPT_2 JLPT_3,"B3?=*++0m,"
使用,しよう,使用（與使うこと（つかうこと）相同），應用，就業，利用率,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11,"fv),c7#%~v"
小,しょう,小的,JLPT JLPT_2 JLPT_3,He3e1#-/kV
章,しょう,章節；勳章,JLPT JLPT_2 JLPT_3,Cp$qz7LRQ1
賞,しょう,獎項，獎勵,JLPT JLPT_2 JLPT_3,ixda5oQQ=r
上,じょう,第一卷；優質質量；政府,JLPT JLPT_2 JLPT_3,bjtdx{-WQ5
障害,しょうがい,障礙，障礙,JLPT JLPT_2 JLPT_3,lN`%jCJ3Cv
奨学金,しょうがくきん,獎學金,Genki_Ln.16 JLPT JLPT_3 JLPT_2 Genki,Q-*B#$A6L:
乗客,じょうきゃく,乘客,JLPT JLPT_2 JLPT_3,F?2lxj<[^L
上京,じょうきょう,進入首都（東京）,JLPT JLPT_2 JLPT_3,EmcG8c7y3D
状況,じょうきょう,狀況，情況,JLPT JLPT_2 JLPT_3,eJ+`w-qU@C
条件,じょうけん,條件，條款,JLPT JLPT_2 JLPT_3,PesF@2hHde
正午,しょうご,中午，中午,JLPT JLPT_2 JLPT_3,i0$lSUJ-1J
正直,しょうじき,誠實，正直，坦率,JLPT JLPT_2 JLPT_3,l~d^29Cn=%
常識,じょうしき,常識,JLPT JLPT_2 JLPT_3,b?[*`UKS8R
少女,しょうじょ,年輕女孩,JLPT JLPT_2 JLPT_3,lN;?Tr6q{x
少々,しょうしょう,一點;短（時間）（少し（すこし）正式）,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.20 Genki,Ievwu]EUfz
症状,しょうじょう,症狀，狀況,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,v+Eb}=L(fE
生じる,しょうじる,發生，生成,JLPT JLPT_2 JLPT_3,"F/qG4,c8v/"
状態,じょうたい,條件，情況,JLPT JLPT_2 JLPT_3,u!E?FPG-@p
上達,じょうたつ,改進，進步,JLPT JLPT_2 JLPT_3,Cc{1AI[wlm
冗談,じょうだん,開玩笑,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,CllWuV2>%{
上等,じょうとう,頭等艙，很好,JLPT JLPT_2 JLPT_3,tjn_MUpJQp
衝突,しょうとつ,碰撞，衝突,JLPT JLPT_2 JLPT_3,D@=pGn%86P
商人,しょうにん,交易員，店主，商人,JLPT JLPT_2 JLPT_3,MlJB*>A^h!
承認,しょうにん,認可，批准,JLPT JLPT_2 JLPT_3,"N==,~orf~["
少年,しょうねん,男孩，少年,JLPT JLPT_2 JLPT_3,p6fQoD5WK;
商売,しょうばい,貿易，商業，商業,JLPT JLPT_2 JLPT_3,"LoHl,.u1Y|"
消費,しょうひ,消費，支出,JLPT JLPT_2 JLPT_3,r7nT91%)]@
商品,しょうひん,商品，商品,JLPT JLPT_2 JLPT_3,w+UOx&@[sL
賞品,しょうひん,獎品，獎杯,JLPT JLPT_2 JLPT_3,M}I~*8Gv<&
消防,しょうぼう,消防部門消防部門,JLPT JLPT_2 JLPT_3,u20O%VZ|ID
情報,じょうほう,信息，（軍事）情報,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,cpG:I1X!x-
証明,しょうめい,證明，驗證,JLPT JLPT_2 JLPT_3,l8;-B$4N!G
省略,しょうりゃく,遺漏，縮寫，刪節,JLPT JLPT_2 JLPT_3,jp1y&-#kyn
女王,じょおう,女王,JLPT JLPT_2 JLPT_3,furG^[#|I<
職,しょく,就業,JLPT JLPT_2 JLPT_3,"hJY}5,Qu8j"
職業,しょくぎょう,職業，業務,JLPT JLPT_2 JLPT_3,tU=ntM)WP{
食卓,しょくたく,餐桌,JLPT JLPT_2 JLPT_3,o})uu+vtqN
食品,しょくひん,食品,JLPT JLPT_2 JLPT_3,iU(>r<G;@0
植物,しょくぶつ,植物，植被,JLPT JLPT_2 JLPT_3,mpdopLG{vR
食物,しょくもつ,食物，食物,JLPT JLPT_2 JLPT_3,KrMVp?T5YJ
食欲,しょくよく,食慾（用於食物）,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,qt1GC>c)@^
食料,しょくりょう,食物,JLPT JLPT_2 JLPT_3,"k76m(C.Z,~"
食糧,しょくりょう,條款，口糧,JLPT JLPT_2 JLPT_3,"e~`&J:],P}"
書斎,しょさい,研究，書房,JLPT JLPT_2 JLPT_3,z(Zi=4k7-t
女子,じょし,女人，女孩,JLPT JLPT_2 JLPT_3,y}`qNApt9R
助手,じょしゅ,助理，助手,JLPT JLPT_2 JLPT_3,F9rI>UKU}`
徐々に,じょじょに,慢慢地，一點一點地,JLPT JLPT_2 JLPT_3,Ik@-$!%)*d
署名,しょめい,簽名,JLPT JLPT_2 JLPT_3,"C)w4*u^eJ,"
書物,しょもつ,圖書,JLPT JLPT_2 JLPT_3,dsq%HW0O`l
女優,じょゆう,演員,JLPT JLPT_2 JLPT_3,g6/0nLbYEk
処理,しょり,處理，治療，處置,JLPT JLPT_2 JLPT_3,"n-}WPF,.CB"
書類,しょるい,文件，官方文件,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14 Genki_Ln.22 Genki,Ehj{.OHy`#
知らせ,しらせ,注意,JLPT JLPT_2 JLPT_3,tE;LJdiq{b
尻,しり,臀部，底部,JLPT JLPT_2 JLPT_3,Cp-T01W>>7
知合い,しりあい,熟人,JLPT JLPT_2 JLPT_3,Jz(h+XVbH4
印,しるし,標記;象徵;證據,JLPT JLPT_2 JLPT_3,F?8:NFp=(i
城,しろ,城堡,JLPT JLPT_2 JLPT_3,GnhkX+7b^.
進学,しんがく,上大學,JLPT JLPT_2 JLPT_3,p#!GLXFzk~
神経,しんけい,神經，靈敏度,JLPT JLPT_2 JLPT_3,"mz&,NqxuZ0"
真剣,しんけん,認真，認真,JLPT JLPT_2 JLPT_3,PuRLKa9@q(
信仰,しんこう,（宗教）信仰，信仰,JLPT JLPT_2 JLPT_3,g~oH1SUq[>
信号,しんごう,交通信號燈，信號，信號量,JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki,z?zKX+/#?f
人工,じんこう,人造，人造，人工工作，,JLPT JLPT_2 JLPT_3,zQ3t>E=&2U
深刻,しんこく,嚴肅的,JLPT JLPT_2 JLPT_3,Kel_M-JGRX
診察,しんさつ,體檢（患者）,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,Mx*u-x#R2}
人種,じんしゅ,種族（人）,JLPT JLPT_2 JLPT_3,Mm&n`P$vPl
信じる,しんじる,相信,JLPT JLPT_2 JLPT_3,E~EJs-CkJ`
人生,じんせい,（人類）生命（例如，構思到死亡）,JLPT JLPT_2 JLPT_3,G{?]K0G%It
親戚,しんせき,親屬）,Genki_Ln.16 JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Genki,f;-yjmPO85
新鮮,しんせん,新鮮的,JLPT JLPT_2 JLPT_3,hgsIFo;k1C
心臓,しんぞう,心,JLPT JLPT_2 JLPT_3,FBeXkqV5hu
身体,しんたい,身體,JLPT JLPT_2 JLPT_3,t3y~q`<OO!
身長,しんちょう,身高（身體），身材,JLPT JLPT_2 JLPT_3,v2>$s!00R?
慎重,しんちょう,小心，謹慎，謹慎,JLPT JLPT_2 JLPT_3,H{qX;#1p@y
審判,しんぱん,裁判，裁判，審判,JLPT JLPT_2 JLPT_3,"i+^OoCXV,-"
人物,じんぶつ,性格，個性，才華橫溢的人,JLPT JLPT_2 JLPT_3,OXSwNDOM:u
進歩,しんぽ,改進，進步，發展,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,C*Oco$5$I7
親友,しんゆう,密友，好友,JLPT JLPT_2 JLPT_3,e!XKqiS_]u
信用,しんよう,自信，依賴,JLPT JLPT_2 JLPT_3,D_Xu621X(*
信頼,しんらい,依賴，信任，信心,JLPT JLPT_2 JLPT_3,Cc(neZE[/;
心理,しんり,心理,JLPT JLPT_2 JLPT_3,M4-pHm{8Hp
人類,じんるい,人類，人類,JLPT JLPT_2 JLPT_3,yGfC3NH0c~
巣,す,巢，繁殖地,JLPT JLPT_2 JLPT_3,wae)m$%B2U
酢,す,醋,JLPT JLPT_2 JLPT_3,S|>MWw8{x
図,ず,圖，繪畫，插圖,JLPT JLPT_2 JLPT_3,o=i@Vi;`4G
水準,すいじゅん,等級，標準,JLPT JLPT_2 JLPT_3,LrR5Wf1Z7N
推薦,すいせん,推薦,JLPT JLPT_2 JLPT_3,jvDU?eC@&E
スイッチ,スイッチ,轉變,JLPT Genki_Ln.18 JLPT_3 JLPT_2 Genki,D+{$1{/[wR
睡眠,すいみん,睡覺,JLPT JLPT_2 JLPT_3,wh0!*D%WvE
数,すう,數字，圖,JLPT JLPT_2 JLPT_3,J]}my?o<Q!
数字,すうじ,數字，圖,JLPT JLPT_2 JLPT_3,B[Gra1kO)v
スープ,スープ,（西方）湯,JLPT JLPT_2 JLPT_3,"s,J:5SYdW2"
末,すえ,粉末的末端,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4,EyKo./;AAl
姿,すがた,圖，形狀，外觀,JLPT JLPT_2 JLPT_3,gTn!6ZHkYs
スキー,スキー,滑雪,JLPT JLPT_3 JLPT_2 Genki_Ln.9 Genki,EDq$^7+uK~
救う,すくう,從中救出，幫助,JLPT JLPT_2 JLPT_3,Pzdj_}ruVB
すくなくとも,すくなくとも,至少,JLPT JLPT_2 JLPT_3,s64aNUZ0&F
優れる,すぐれる,超越，超越，超越,JLPT JLPT_2 JLPT_3,"fFuIf,@I[N"
スケート,スケート,滑冰，滑冰,JLPT JLPT_2 JLPT_3,DQ0-nYW7>.
スケジュール,スケジュール,日程,JLPT JLPT_2 JLPT_3,m}P~NJ788C
少しも,すこしも,什麼，沒有一點,JLPT JLPT_2 JLPT_3,pSmTW}7_?}
過ごす,すごす,通過，花時間（時間）,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11,oE9$X-z%xN
筋,すじ,肌肉，弦，線,JLPT JLPT_2 JLPT_3,M#_TzTBk6]
進める,すすめる,促進，促進，加速,JLPT JLPT_2 JLPT_3,u2l`IqNk23
勧める,すすめる,敦促（某人）做（某事），建議,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,"IBeh,nV1Dt"
スター,スター,星星,JLPT JLPT_2 JLPT_3,hHJocr{1ix
スタイル,スタイル,風格,JLPT JLPT_2 JLPT_3,wQruLdJqJI
スタンド,スタンド,站立,JLPT JLPT_2 JLPT_3,"Qz:R,pd5SR"
頭痛,ずつう,頭痛,JLPT JLPT_2 JLPT_3,hcxF9uQ5ZX
ずっと,ずっと,許久;一直以來連續,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5 Genki_Ln.22 Genki,OCoZDHO:^u
すっぱい,すっぱい,酸，酸,JLPT JLPT_2 JLPT_3,d)l(J.2Nu=
すてき,すてき,可愛，很棒,JLPT JLPT_2 JLPT_3,B~-XSf&NNC
既に,すでに,已經（與もう）,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,d=:dSSUK:`
すなわち,すなわち,也就是說，例如,JLPT JLPT_2 JLPT_3,zS=.lQe1_+
スピーチ,スピーチ,演講,JLPT JLPT_3 JLPT_2 Genki Genki_Ln.21,pvM3{8vA`1
全て,すべて,全部，全部,JLPT JLPT_2 JLPT_3,kq!H^iT|N4
済ませる,すませる,要完成,JLPT JLPT_2 JLPT_3,vQUpvSA005
角,すみ,角落,JLPT JLPT_2 JLPT_3,b^^N<lR$T]
墨,すみ,墨水,JLPT JLPT_2 JLPT_3,Pt>IB]Y%[8
すみません (かん),すみません (かん),對不起，對不起,JLPT JLPT_2 JLPT_3,Kr6X0TH7=(
澄む,すむ,清除（例如天氣），要變得透明,JLPT JLPT_2 JLPT_3,d^/yYeQD1M
清む,すむ,清除（例如天氣），要變得透明,JLPT JLPT_2 JLPT_3,wMyt{WAjxX
刷る,する,列印,JLPT JLPT_2 JLPT_3,MuPBNA;83U
為る,する,做，嘗試,JLPT JLPT_2 JLPT_3,z;FwzGK-v+
鋭い,するどい,尖銳，鋒利,JLPT JLPT_2 JLPT_3,s@c[Ya@R|h
すれ違う,すれちがう,彼此通過,JLPT JLPT_2 JLPT_3,fP+0(@n(JZ
ずれる,ずれる,移開,JLPT JLPT_2 JLPT_3,F2j?XV=5UF
正,せい,（邏輯）是正確的,JLPT JLPT_2 JLPT_3,AC@`-8Z+qv
生,せい,出生,JLPT JLPT_2 JLPT_3,"yDy>Z9R,FJ"
性,せい,性別，性別,JLPT JLPT_2 JLPT_3,Gy*nj#x|I/
姓,せい,姓氏，姓氏,JLPT JLPT_2 JLPT_3,"sO,Mg|Q.hG"
所為,せい,原因，原因，錯誤,JLPT JLPT_2 JLPT_3,yy|zc*n):n
税,ぜい,稅,JLPT JLPT_2 JLPT_3,eEs:NyUxEV
性格,せいかく,性格，個性,JLPT Intermediate_Japanese Genki_Ln.19 JLPT_3 JLPT_2 Genki Intermediate_Japanese_Ln.3,l3(d&u3o-<
正確,せいかく,準確，守時，精確,JLPT JLPT_2 JLPT_3,rg^|Ktq*}h
世紀,せいき,世紀,JLPT JLPT_2 JLPT_3,MQfIjnh7j}
請求,せいきゅう,索賠，要求，要求,JLPT JLPT_2 JLPT_3,KNbh$sySYl
税金,ぜいきん,稅，稅,Genki_Ln.15 JLPT JLPT_3 JLPT_2 Genki,Ah}s1$;.$[
清潔,せいけつ,乾淨的,JLPT JLPT_2 JLPT_3,vJiZ-)))FJ
制限,せいげん,限制，約束，限制,JLPT JLPT_2 JLPT_3,P3D^cMd_|f
成功,せいこう,成功，熱門,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,bkv%QuVn22
正式,せいしき,官方，正式,JLPT JLPT_2 JLPT_3,zSQ*)G#Yvj
性質,せいしつ,自然，財產，處置,JLPT JLPT_2 JLPT_3,E(70}4c-m*
精神,せいしん,心靈，靈魂，精神,JLPT JLPT_2 JLPT_3,tLy]a8CB9?
成人,せいじん,成人,JLPT JLPT_2 JLPT_3,"g@,iQ!8;."
精々,せいぜい,最多只能,JLPT JLPT_2 JLPT_3,q[aqj]#7$-
成績,せいせき,等級（即測試），學術記錄,JLPT Genki_Ln.12 Intermediate_Japanese JLPT_3 JLPT_2 Genki Intermediate_Japanese_Ln.3,o4$BUl?TFA
製造,せいぞう,製造，生產,JLPT JLPT_2 JLPT_3,OAvZo`.~[q
贅沢,ぜいたく,奢侈，奢侈,JLPT JLPT_2 JLPT_3,"iRbk]j,(Bl"
成長,せいちょう,生長,JLPT JLPT_2 JLPT_3,lSq)ru5`@&
生長,せいちょう,生長,JLPT JLPT_2 JLPT_3,G5ys*Os]kn
制度,せいど,系統，機構,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,]d3#w;wAU
青年,せいねん,年輕人，年輕人,JLPT JLPT_2 JLPT_3,r|D|m%Ih@3
生年月日,せいねんがっぴ,出生日期,JLPT JLPT_2 JLPT_3,H8|M5HOte?
製品,せいひん,製成品，成品,JLPT JLPT_2 JLPT_3,GY93^mZ;)a
政府,せいふ,政府，管理,JLPT Intermediate_Japanese Genki JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15 Genki_Ln.21,zDQAHO%nD/
生物,せいぶつ,生物，有機體,JLPT JLPT_2 JLPT_3,nx3;swk;nm
