expression,reading,meaning,tags,guid
暖かい,あたたかい,溫暖的,JLPT_N5,tk[pUMy0{i
頭,あたま,頭,Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,DaKiPvzaex
新しい,あたらしい,新的,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,h)6JB@Q5Rj
あちら,あちら,這種方式（禮貌）,Genki Genki_Ln.20 JLPT JLPT_5 JLPT_N5,h{rLO32/d4
暑い,あつい,熱（參考天氣），溫暖,Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5,"gSl8i,<}^I"
熱い,あつい,熱（對象）,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,Gy7fB=0YXx
厚い,あつい,善良，溫暖（心臟），濃密，深,JLPT JLPT_5 JLPT_N5,v[2GvOysf?
あっち,あっち,在那邊,JLPT JLPT_5 JLPT_N5,Pv=fA$Z6K5
後,あと,之後（以後）；將來;其餘的部分;自那以後,Genki Genki_Ln.18 JLPT JLPT_2 JLPT_3 JLPT_5 JLPT_N5,"r-[yF55!,-"
あなた,あなた,你,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,"dwd.i?n%,!"
兄,あに,（我的）哥哥（謙虛）,Genki Genki_Ln.14 JLPT JLPT_5 JLPT_N5,L}%Kue=51s
姉,あね,（我的）姐姐（謙虛）,Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,IX6p9}CO.e
アパート,アパート,公寓（Abbr。）,Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,wZ/2ki)d+f
あの,あの,那邊這樣，那樣；嗯...,JLPT JLPT_4 JLPT_5 JLPT_N5,B2LX%goFyX
浴びる,あびる,洗澡，淋浴,JLPT JLPT_3 JLPT_5 JLPT_N5,b2.2F3UI=#
危ない,あぶない,危險，批評,Intermediate_Japanese Intermediate_Japanese_Ln.15 JLPT JLPT_5 JLPT_N5,kjgRC;INvI
甘い,あまい,慷慨，甜美,Genki Genki_Ln.12 JLPT JLPT_5 JLPT_N5,jcM!HlCL`<
余り,あまり,不是很剩餘,JLPT JLPT_3 JLPT_5 JLPT_N5,"l$B(J(k,y1"
雨,あめ,雨,Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5,PaXlv})<8_
飴,あめ,（硬）糖果,JLPT JLPT_5 JLPT_N5,v}dp1l^X:W
洗う,あらう,洗,Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5,H=[cc$xhzR
在る,ある,是，有,JLPT JLPT_3 JLPT_5 JLPT_N5,w$Yz{uB@-`
有る,ある,是，有,JLPT JLPT_3 JLPT_5 JLPT_N5,v`6i&kQMJj
歩く,あるく,走路,Genki Genki_Ln.20 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,"Kkagn,fSTU"
あれ,あれ,那個（那邊）,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,Co(PaI(^/_
いい; よい,いい; よい,好的,JLPT JLPT_5 JLPT_N5,O(#?WJE%7H
いいえ,いいえ,不，一點都不,JLPT JLPT_5 JLPT_N5,"iO`r],Af`o"
言う,いう,說,Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5,iurNhMLEpv
家,いえ,房子，家,Genki Genki_Ln.3 JLPT JLPT_2 JLPT_3 JLPT_5 JLPT_N5,QGc`#y1e97
いかが,いかが,如何以什麼方式,JLPT JLPT_5 JLPT_N5,r5L~xW!JP9
行く,いく; ゆく,去,JLPT JLPT_5 JLPT_N5,kJnXhXxW0)
いくつ,いくつ,幾個，幾歲,JLPT JLPT_3 JLPT_5 JLPT_N5,mxf9)ZwbLi
いくら,いくら,多少，多少,Genki Genki_Ln.2 JLPT JLPT_3 JLPT_5 JLPT_N5,G7]VF2LkZL
池,いけ,池塘,JLPT JLPT_5 JLPT_N5,"u8]?l[G,7&"
医者,いしゃ,醫生;醫師,Genki Genki_Ln.1 Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5,"f&|8.,xzY9"
椅子,いす,椅子,JLPT JLPT_3 JLPT_5 JLPT_N5,Nxw^e{dZp(
忙しい,いそがしい,忙（人們，日子）,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,pTORshR]m|
痛い,いたい,傷害;痛苦;瘡,Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.5 JLPT JLPT_5 JLPT_N5,O@@jk^&oQ8
一,いち,一,JLPT JLPT_3 JLPT_5 JLPT_N5,C57gy_Lcmo
一日,いちにち,一天（持續時間）,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5,Q/Fb^F]yhk
一番,いちばん,最好的（大多數），第一，第一,Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5,y&ds7j((mb
いつ,いつ,什麼時候,Genki Genki_Ln.3 JLPT JLPT_2 JLPT_5 JLPT_N5,oGX1~x%YQo
五日,いつか,五天；該月的第五天,Genki Genki_Ln.13 JLPT JLPT_3 JLPT_5 JLPT_N5,iii]i;bYjg
一緒,いっしょ,一起,Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5,D>uK5dFJy^
五つ,いつつ,五件事,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5,Q!*H:Q_rHO
いつも,いつも,總是，通常每次，永遠不會（用neg。動詞）,Genki Genki_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5,BM|Xrf53.p
犬,いぬ,狗,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,"ktH(<>,fX+"
今,いま,現在,Genki Genki_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5,N{Ld-iFO]H
意味,いみ,含義，意義,Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,xQ(-U#d9Tp
妹,いもうと,妹妹（謙虛）,Genki Genki_Ln.1 Genki_Ln.7 JLPT JLPT_5 JLPT_N5,BL_XI^txw+
嫌,いや,不愉快，可惡，不愉快,JLPT JLPT_3 JLPT_5 JLPT_N5,pj6@51cCNZ
入口,いりぐち,入口,JLPT JLPT_5 JLPT_N5,"E5~,8$6,oj"
居る,いる,（謙虛）是（動畫），存在,JLPT JLPT_5 JLPT_N5,wfzvV]4NOO
要る,いる,需要,JLPT JLPT_5 JLPT_N5,j|TF$iBC;9
入れる,いれる,放入,JLPT JLPT_5 JLPT_N5,swmy/(v]Eb
色,いろ,顏色,Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5,"Epa;v6=%P,"
色々,いろいろ,各種各樣的,JLPT JLPT_5 JLPT_N5,jV7cB[WgxE
上,うえ,上方（上，頂部等），在上面,JLPT JLPT_2 JLPT_5 JLPT_N5,"j3j@,T!uH>"
後ろ,うしろ,後部，後面，後部,JLPT JLPT_3 JLPT_5 JLPT_N5,s:DnwS1iNM
薄い,うすい,薄，虛弱,JLPT JLPT_3 JLPT_5 JLPT_N5,pRrb<$bzH|
歌,うた,一首歌,Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,JJN9**Hn8A
歌う,うたう,唱歌,Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5,AN4yH;7MHR
うち,うち,家;房子;我的地方,Genki Genki_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5,u5l2?%hKEd
生まれる,うまれる,出生,JLPT JLPT_3 JLPT_5 JLPT_N5,i{d6CiQ#iK
海,うみ,海灘,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,Cla&e~|Y6P
売る,うる,出售（V.T.）,Genki Genki_Ln.15 Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_3 JLPT_5 JLPT_N5,nqk=gYOr|$
うるさい,うるさい,嘈雜;惱人的,Genki Genki_Ln.22 JLPT JLPT_3 JLPT_5 JLPT_N5,fsH/V)BWD4
上着,うわぎ,外套，夾克,JLPT JLPT_5 JLPT_N5,nv?u]<OhhN
絵,え,一幅畫；圖片；圖紙,Genki Genki_Ln.15 JLPT JLPT_3 JLPT_5 JLPT_N5,E6H3mWmPF1
映画,えいが,電影，電影,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5,Q842_8x`<%
映画館,えいがかん,電影院，電影院,Genki Genki_Ln.15 JLPT JLPT_5 JLPT_N5,tKa%gU>tYk
英語,えいご,英語）,Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5,l~kTfp|Na~
ええ,ええ,是的,Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5,K4f;DsCIdC
駅,えき,車站,Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5,EP[wTa2Y![
エレベーター,エレベーター,電梯,JLPT JLPT_2 JLPT_5 JLPT_N5,GomZ-xrho6
～円,～えん,日元,JLPT JLPT_5 JLPT_N5,"rY,[_6)@&p"
鉛筆,えんぴつ,鉛筆,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,ArKUTnLoi2
お～,お～,光榮〜（榮譽）,JLPT JLPT_5 JLPT_N5,Q1z/@I6[X=
美味しい,おいしい,美味，美味,JLPT JLPT_5 JLPT_N5,f%Oz)hC{aH
多い,おおい,許多;有很多,Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,CS_ZJ+i5[)
大きい,おおきい,大，大,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,N*s[nF-<Om
大きな,おおきな,大的,JLPT JLPT_5 JLPT_N5,"C@,$F5(H&S"
大勢,おおぜい,很多人,JLPT JLPT_5 JLPT_N5,d_f[=H{F{<
お母さん,おかあさん,母親（正式）,Genki Genki_Ln.1 Genki_Ln.2 JLPT JLPT_5 JLPT_N5,JmU7?0Aw7)
お菓子,おかし,糖果，糖果，小吃,Genki Genki_Ln.11 JLPT JLPT_5 JLPT_N5,iY2$$8!fW<
お金,おかね,錢,Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5,uh%`nh}D?M
起きる,おきる,起床（例如，睡覺）；發生,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5,i~#f<a525w
置く,おく,放置；躺放置,Genki Genki_Ln.21 JLPT JLPT_3 JLPT_5 JLPT_N5,"KTJ,/<Sfw7"
奥さん,おくさん,（別人的）妻子（榮譽）,Genki Genki_Ln.14 Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5,raj<Z6u7R]
お酒,おさけ,清酒酒精,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5,BPnYG]G`g3
お皿,おさら,盤子，盤子,JLPT JLPT_5 JLPT_N5,"lNBs!SV,D!"
伯父; 叔父さん,おじさん,叔叔，中年男人,JLPT JLPT_5 JLPT_N5,s$4&3o9W|{
おじいさん,おじいさん,祖父，男性老年人,Genki Genki_Ln.13 JLPT JLPT_3 JLPT_5 JLPT_N5,OnBGSorIYO
教える,おしえる,教，告知，指導,Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,&(rx8HabP
押す,おす,推動，按下，蓋章（例如，護照）,Genki Genki_Ln.18 JLPT JLPT_5 JLPT_N5,O7S.k1^4+9
遅い,おそい,慢的; （要）遲到,Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.11 JLPT JLPT_5 JLPT_N5,e`TVG4aTiS
お茶,おちゃ,（綠茶,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_5 JLPT_N5,"o|6tDcd,cL"
お手洗い,おてあらい,廁所，洗手間，浴室（點燃，一個洗手的地方）,Genki Genki_Ln.2 Intermediate_Japanese Intermediate_Japanese_Ln.13 JLPT JLPT_5 JLPT_N5,jX+//z~!X8
お父さん,おとうさん,父親（正式）,Genki Genki_Ln.1 Genki_Ln.2 JLPT JLPT_5 JLPT_N5,Kh?V(6)C|2
弟,おとうと,弟弟,Genki Genki_Ln.1 Genki_Ln.7 JLPT JLPT_5 JLPT_N5,"ht,o]F,GkV"
男,おとこ,男人，男性,Genki Genki_Ln.17 JLPT JLPT_5 JLPT_N5,QC9-<k]D|G
男の子,おとこのこ,男生,Genki Genki_Ln.11 JLPT JLPT_5 JLPT_N5,mDCUq=3c&Y
一昨日,おととい,昨天的前一天,Genki Genki_Ln.19 JLPT JLPT_5 JLPT_N5,n^WNNS^t5D
おととし,おととし,前一年,JLPT JLPT_5 JLPT_N5,"i$lVvl^Y,~"
大人,おとな,成人,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5,F~j9Wag0^x
お腹,おなか,胃,JLPT JLPT_3 JLPT_5 JLPT_N5,GVf+XC=Lx4
同じ,おなじ,同樣，相同,Genki Genki_Ln.14 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,FT1U+`d~$u
お兄さん,おにいさん,（別人的）哥哥（正式）,Genki Genki_Ln.1 Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5,c-e]c9shpL
お姉さん,おねえさん,姐姐（正式）,Genki Genki_Ln.1 Genki_Ln.7 JLPT JLPT_5 JLPT_N5,"Q,2s6~F,9F"
伯母さん; 叔母さん,おばさん,阿姨,JLPT JLPT_5 JLPT_N5,fk]_fvvw.h
おばあさん,おばあさん,祖母，女高級公民,Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5,K7L64Zdx7D
お風呂,おふろ,洗澡,JLPT_N5,btJ^oH!>Ob
お弁当,おべんとう,盒裝午餐,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5,ou=Mxez95b
覚える,おぼえる,學習，承諾記憶，記住，記住,Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,k*NiP6Je8n
おまわりさん,おまわりさん,警察（友好任期）,JLPT JLPT_5 JLPT_N5,kI/erxg?st
重い,おもい,重的;嚴肅的,Genki Genki_Ln.20 JLPT JLPT_3 JLPT_5 JLPT_N5,n(}tZ@Uv29
面白い,おもしろい,有趣，有趣,Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5,"J&$%9x,#?>"
泳ぐ,およぐ,游泳,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,bxmTHH/R3s
降りる,おりる,下車,JLPT JLPT_3 JLPT_5 JLPT_N5,hM4FhZWg_/
終る,おわる,完成，關閉,JLPT JLPT_5 JLPT_N5,D_J6!H@vf*
音楽,おんがく,音樂,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5,fcOO[?V993
女,おんな,女人，女,Genki Genki_Ln.17 JLPT JLPT_5 JLPT_N5,d3!7^Z7+&i
女の子,おんなのこ,女孩,Genki Genki_Ln.11 JLPT JLPT_5 JLPT_N5,n^ma[3kYmi
～回,～かい,櫃檯發生（〜Times）,JLPT JLPT_1 JLPT_5 JLPT_N5,dwW`SX||PF
～階,～かい,建築物的故事（地板）的櫃檯,JLPT JLPT_4 JLPT_5 JLPT_N5,x]4mRhDP?0
外国,がいこく,外國;國外,Genki Genki_Ln.11 Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_5 JLPT_N5,K:<1s^}$O$
外国人,がいこくじん,外國人,Genki Genki_Ln.15 JLPT JLPT_5 JLPT_N5,mxObbkK7.-
会社,かいしゃ,公司，公司,Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,owc{ezB4?4
階段,かいだん,樓梯,JLPT JLPT_5 JLPT_N5,"ui<=#{,<U^"
買い物,かいもの,購物,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,uV:`-T%Eq~
買う,かう,買,JLPT JLPT_3 JLPT_5 JLPT_N5,Q.3jlQZyvW
返す,かえす,歸還東西,JLPT JLPT_3 JLPT_5 JLPT_N5,b+[+YOY+dv
帰る,かえる,回去，回家，返回,Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5,HBCAN.he?j
顔,かお,臉（身體部位）,Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_3 JLPT_5 JLPT_N5,MGLL{4`mK@
かかる,かかる,這需要（金錢的時間）（v.i。）,Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5,yajlZ<1W@=
鍵,かぎ,鎖；鑰匙,Genki Genki_Ln.17 JLPT JLPT_3 JLPT_5 JLPT_N5,CBifo1C?=d
書く,かく,寫,JLPT JLPT_3 JLPT_5 JLPT_N5,ytOa}oy+zO
学生,がくせい,學生,Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5,"JC,(K4dD=="
～か月,～かげつ,（數月數）,JLPT JLPT_5 JLPT_N5,p^^qFJHF)[
掛ける,かける,穿上（例如，眼鏡）；掛（例如，在牆上）,JLPT JLPT_3 JLPT_4 JLPT_5 JLPT_N5,J@I.fZoEvE
かける,かける,撥打/致電（例如，電話）;坐下,Genki Genki_Ln.19 JLPT JLPT_3 JLPT_4 JLPT_5 JLPT_N5,j[@hZ&;%2u
傘,かさ,繖形傘,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,p_LV=Cf?pc
貸す,かす,借,Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5,yag&XA]F86
風,かぜ,風，微風,Genki Genki_Ln.22 JLPT JLPT_5 JLPT_N5,wPz(SGuAqF
風邪,かぜ,感冒，流感,Genki Genki_Ln.12 JLPT JLPT_5 JLPT_N5,"G#zadB[Bd,"
方,かた,- 人（ひと）的榮譽形式 - ;做的方式,Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_3 JLPT_4 JLPT_5 JLPT_N5,GtdTiap.Os
家族,かぞく,家庭，家庭成員,Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,jwBW:Yf?[N
片仮名,かたかな,卡塔卡納,JLPT JLPT_5 JLPT_N5,y%B]18.T{|
～月,～がつ,一年,JLPT JLPT_5 JLPT_N5,x[qBqm:mer
学校,がっこう,一所學校,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5,jMUlk]n4bL
カップ,カップ,杯子,JLPT JLPT_1 JLPT_5 JLPT_N5,N>J.3DDIIf
家庭,かてい,家;家庭,Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5,K=/LkA^bE5
角,かど,角（例如，桌子，人行道）,Genki Genki_Ln.20 JLPT JLPT_5 JLPT_N5,NblB:vgsi`
かばん,かばん,袋子，籃子,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,M4T~@ehWYB
花瓶,かびん,（花）花瓶,JLPT JLPT_5 JLPT_N5,m<:4xC~U|%
かぶる,かぶる,穿著，穿上（例如，頭上的帽子）,Genki Genki_Ln.7 JLPT JLPT_3 JLPT_5 JLPT_N5,"v~,/++9.ks"
紙,かみ,紙,Genki Genki_Ln.17 JLPT JLPT_3 JLPT_5 JLPT_N5,BZj5w]P?W@
カメラ,カメラ,相機,Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5,m@gkXGnk1!
火曜日,かようび,週二,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,rx9;D%FE+1
辛い,からい,熱又辣；咸,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5,EjaGe<]5<&
体,からだ,身體;健康,Genki Genki_Ln.23 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5,x=d[R_7msH
借りる,かりる,借錢，欠,JLPT JLPT_5 JLPT_N5,EV_.CiOUqY
～がる,～がる,感覺,JLPT JLPT_5 JLPT_N5,e--3P:#0au
軽い,かるい,輕巧，非嚴重，次要,JLPT JLPT_5 JLPT_N5,"Q?,F=N/]i*"
カレー,カレー,咖哩（咖哩和大米）,Genki Genki_Ln.13 JLPT JLPT_1 JLPT_5 JLPT_N5,l)iLA}_6t!
カレンダー,カレンダー,日曆,JLPT JLPT_5 JLPT_N5,"H,vNs@Ml~$"
川; 河,かわ,河,JLPT JLPT_3 JLPT_5 JLPT_N5,QzV_(D2VAO
～側,～がわ,〜一面,JLPT_N5,ks2wGx4U0-
可愛い,かわいい,可愛，可愛,JLPT JLPT_5 JLPT_N5,"cM$xbG,Do&"
漢字,かんじ,漢字；漢字,Genki Genki_Ln.6 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5,"yx;[,(ZC<M"
木,き,樹，木材，木材,Genki Genki_Ln.22 JLPT JLPT_5 JLPT_N5,"Pt,~h2%O9J"
黄色,きいろ,黃色的,JLPT JLPT_5 JLPT_N5,c$:@4*e3c*
黄色い,きいろい,黃色的,JLPT JLPT_5 JLPT_N5,yw~rIwG)7I
消える,きえる,消失，消失,Genki Genki_Ln.18 JLPT JLPT_5 JLPT_N5,Hl(tY84I}b
聞く,きく,聽，聽，問,JLPT JLPT_3 JLPT_5 JLPT_N5,CbCe+?lSS(
北,きた,北,Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5,c_4*(T~qY|
ギター,ギター,吉他,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5,gl.RMMgxvn
汚い,きたない,骯髒，不潔，骯髒,Genki Genki_Ln.16 JLPT JLPT_5 JLPT_N5,gA&c1.)X%=
喫茶店,きっさてん,咖啡店,Genki Genki_Ln.2 Intermediate_Japanese Intermediate_Japanese_Ln.11 JLPT JLPT_5 JLPT_N5,b3?(}lhy[4
切手,きって,郵政郵票,Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5,GZ2eU+7^)f
切符,きっぷ,票,Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5,i@ntG+Gt0l
昨日,きのう,昨天,Genki Genki_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5,"mMKJxv#,<s"
九,きゅう,九,JLPT JLPT_3 JLPT_5 JLPT_N5,PCz+i!/c^t
牛肉,ぎゅうにく,牛肉,JLPT JLPT_5 JLPT_N5,"HN>QIS,sa)"
牛乳,ぎゅうにゅう,牛奶,Genki Genki_Ln.18 JLPT JLPT_5 JLPT_N5,fkn+n(t~hl
今日,きょう,今天，這一天,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5,bCP{!%CS>.
教室,きょうしつ,課堂,Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5,jd>*%:rgPV
兄弟,きょうだい,兄弟姐妹（謙虛），兄弟姐妹,Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,tg~Kr0A/Mn
去年,きょねん,去年,Genki Genki_Ln.14 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,zrXmT>AI2s
嫌い,きらい,不喜歡,JLPT JLPT_5 JLPT_N5,"qw1}y,Um4C"
切る,きる,切割；掛斷（電話）,Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5,A;e]B2v]77
着る,きる,穿上（腰上的衣服）；穿,Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5,g$-Eqb.V#N
綺麗,きれい,漂亮，乾淨，整潔,JLPT JLPT_5 JLPT_N5,y:f/R>36c4
キロ; キログラム,キロ; キログラム,（Abbr。）千（千克）,JLPT JLPT_3 JLPT_5 JLPT_N5,"v,MI,fa=Pd"
キロ; キロメートル,キロ; キロメートル,（Abbr。）公斤（公里）,JLPT JLPT_3 JLPT_5 JLPT_N5,I+%u|o<M9)
銀行,ぎんこう,銀行,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,dJzM6E^Crr
金曜日,きんようび,星期五,Genki Genki_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5,H)-<3>G;wq
九,く,九,JLPT JLPT_3 JLPT_5 JLPT_N5,J.@??p5!Es
薬,くすり,藥物,Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5,e<qA>@afcN
下さい,ください,（使用Te-form動詞）請為我做,JLPT JLPT_5 JLPT_N5,wZXS53y~A
果物,くだもの,水果,Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5,"ff8}}%,}l0"
口,くち,職位開放；嘴,Intermediate_Japanese Intermediate_Japanese_Ln.11 Intermediate_Japanese_Ln.8 JLPT JLPT_5 JLPT_N5,ODcS@5Ag5;
靴,くつ,鞋子，鞋類,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,n}XPqtAFrb
靴下,くつした,襪子,Genki Genki_Ln.23 JLPT JLPT_5 JLPT_N5,"m{wv6,~qH4"
